Profile	Rawfilename	yyyy-mm-dd hh:mm	Project	Depth [m]	Sampled volume [L]	LPM (1-2 µm) [# l-1]	LPM (2-4 µm) [# l-1]	LPM (4-8 µm) [# l-1]	LPM (8-16 µm) [# l-1]	LPM (16-32 µm) [# l-1]	LPM (32-64 µm) [# l-1]	LPM (64-128 µm) [# l-1]	LPM (128-256 µm) [# l-1]	LPM (256-512 µm) [# l-1]	LPM (0.512-1.02 mm) [# l-1]	LPM (1.02-2.05 mm) [# l-1]	LPM (2.05-4.1 mm) [# l-1]	LPM (4.1-8.19 mm) [# l-1]	LPM (8.19-16.4 mm) [# l-1]	LPM (>16.4 mm) [# l-1]	LPM biovolume (1-2 µm) [mm3 l-1]	LPM biovolume (2-4 µm) [mm3 l-1]	LPM biovolume (4-8 µm) [mm3 l-1]	LPM biovolume (8-16 µm) [mm3 l-1]	LPM biovolume (16-32 µm) [mm3 l-1]	LPM biovolume (32-64 µm) [mm3 l-1]	LPM biovolume (64-128 µm) [mm3 l-1]	LPM biovolume (128-256 µm) [mm3 l-1]	LPM biovolume (256-512 µm) [mm3 l-1]	LPM biovolume (0.512-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-16.4 mm) [mm3 l-1]	LPM biovolume (>16.4 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
dyfamed_visutrap_01	HDR20230112-133000_Merged-044	2023-01-12 13:30:00	uvp6_sn000141lp_2023_dyfamed_visutrap	209.5	109.15	0.0	0.0	0.0	0.0	0.0	7159.706825469537	227.85158039395327	13.110398534127347	0.5680256527714155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5940880183297718	0.07252696346263773	0.03188145130923189	0.009236822972619211	0.0	0.0	0.0	0.0	0.0	0.0																																					
dyfamed_visutrap_01	HDR20230112-133000_Merged-044	2023-01-12 14:30:00	uvp6_sn000141lp_2023_dyfamed_visutrap	209.4	201.19	0.0	0.0	0.0	0.0	0.0	7036.582335106119	225.2149709230081	12.336597246384015	0.5765694119986083	0.014911277896515732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5838715686522992	0.07179274851562667	0.02975310144468858	0.00981498511435074	0.003277069101545009	0.0	0.0	0.0	0.0	0.0																																					
dyfamed_visutrap_01	HDR20230112-133000_Merged-044	2023-01-12 15:30:00	uvp6_sn000141lp_2023_dyfamed_visutrap	209.4	201.19	0.0	0.0	0.0	0.0	0.0	7040.245539042696	228.19225607634576	12.013519558626175	0.6063919677916397	0.034792981758536706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.584175528803248	0.07263479280495118	0.030016053866465255	0.01028505022640287	0.005418525239453549	0.0	0.0	0.0	0.0	0.0																																					
dyfamed_visutrap_01	HDR20230112-133000_Merged-044	2023-01-12 16:30:00	uvp6_sn000141lp_2023_dyfamed_visutrap	209.4	201.19	0.0	0.0	0.0	0.0	0.0	7139.176897460113	231.47770763954472	12.336597246384015	0.571598986033103	0.014911277896515732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5923845150237167	0.07338800859869317	0.030013786718187628	0.009374283466267981	0.0020829328147155203	0.0	0.0	0.0	0.0	0.0																																					
dyfamed_visutrap_01	HDR20230112-133000_Merged-044	2023-01-12 17:30:00	uvp6_sn000141lp_2023_dyfamed_visutrap	209.4	201.19	0.0	0.0	0.0	0.0	0.0	7077.821959341915	229.64859088423879	12.271981708832447	0.6163328197226502	0.019881703862020976	0.004970425965505244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5872934918170515	0.07290498123838578	0.0300510770685733	0.009905580992431495	0.0035112645676503825	0.0058786299468376055	0.0	0.0	0.0	0.0																																					
dyfamed_visutrap_01	HDR20230112-133000_Merged-044	2023-01-12 18:30:00	uvp6_sn000141lp_2023_dyfamed_visutrap	209.4	201.19	0.0	0.0	0.0	0.0	0.0	7108.65848203191	231.2888314528555	12.376360654108057	0.6362145235846712	0.02485212982752622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5898522011474266	0.07343661815974499	0.030272976903616272	0.009618543037965792	0.00213535757667658	0.0	0.0	0.0	0.0	0.0																																					
dyfamed_visutrap_01	HDR20230112-133000_Merged-044	2023-01-12 19:30:00	uvp6_sn000141lp_2023_dyfamed_visutrap	209.4	201.19	0.0	0.0	0.0	0.0	0.0	7133.590138674885	233.78398528753914	11.943933595109101	0.5467468562055768	0.02485212982752622	0.004970425965505244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.591920944861347	0.0743214028427801	0.029037963779805966	0.008276546456871906	0.002331248154607386	0.002982625551616211	0.0	0.0	0.0	0.0																																					
dyfamed_visutrap_01	HDR20230112-133000_Merged-044	2023-01-12 20:30:00	uvp6_sn000141lp_2023_dyfamed_visutrap	209.4	201.19	0.0	0.0	0.0	0.0	0.0	7042.283413688553	231.0850439882698	12.336597246384015	0.6958596351707341	0.019881703862020976	0.004970425965505244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5843446246809808	0.07348890151561357	0.029867641528475188	0.010622739009067891	0.00192745059650577	0.0028729860175949157	0.0	0.0	0.0	0.0																																					
dyfamed_visutrap_01	HDR20230112-133000_Merged-044	2023-01-12 21:30:00	uvp6_sn000141lp_2023_dyfamed_visutrap	209.4	201.19	0.0	0.0	0.0	0.0	0.0	7093.89631691436	232.53640837019734	12.942989214175656	0.5865102639296188	0.009940851931010488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5886272871062895	0.07373416825634038	0.0316788046131499	0.009030247665047588	0.0014126934921086546	0.0	0.0	0.0	0.0	0.0																																					
dyfamed_visutrap_01	HDR20230112-133000_Merged-044	2023-01-12 22:30:00	uvp6_sn000141lp_2023_dyfamed_visutrap	209.4	201.19	0.0	0.0	0.0	0.0	0.0	7161.911625826333	236.2045827327402	12.600029822555793	0.45727918882648244	0.009940851931010488	0.004970425965505244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5942709651328618	0.07528746601397285	0.031354091032541415	0.007900031188174625	0.001731066364701469	0.004892181783450841	0.0	0.0	0.0	0.0																																					
