Profile	Rawfilename	yyyy-mm-dd hh:mm	Project	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
c1_500_all	HDR20220908-133000_Merged-046	2022-09-08 14:30:00	uvp6_sn000147lp_2022_moose_ge_c1_vig	485.1	10.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6506.341911764705	207.44485294117646	31.066176470588232	16.268382352941174	14.522058823529411	8.547794117647058	2.849264705882353	1.2867647058823528	0.3676470588235294	0.09191176470588235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5398740293647067	0.05608068770070693	0.016759381120444356	0.014328810875621822	0.02164161947544731	0.02559912738843959	0.01709917927059747	0.015393316374808712	0.007635143566903605	0.003921938229934122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
c1_500_all	HDR20220908-133000_Merged-046	2022-09-08 15:30:00	uvp6_sn000147lp_2022_moose_ge_c1_vig	485.2	231.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6469.4497153700195	211.45420044850786	29.10125927203726	16.879420389856822	13.981369673969295	8.67258927031223	2.6565464895635675	1.164395376919096	0.39675694324650684	0.15094014145247542	0.08625150940141453	0.021562877350353633	0.004312575470070726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5368128409135282	0.057164575597920826	0.015699360224992073	0.014866998894493447	0.02056806988394514	0.02574204398621656	0.016368478896897392	0.014083923779444216	0.009553303305921565	0.0074737974074795665	0.008402347360435195	0.004225644593268084	0.0014316990438527936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
c1_500_all	HDR20220908-133000_Merged-046	2022-09-08 16:30:00	uvp6_sn000147lp_2022_moose_ge_c1_vig	485.2	231.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6484.535104364327	212.44178023115404	29.61876832844575	17.379679144385026	13.463860617560808	8.482835949629118	2.6565464895635675	1.116957046748318	0.3795066413662239	0.15094014145247542	0.09487666034155598	0.025875452820424357	0.021562877350353633	0.004312575470070726	0.004312575470070726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5380645749679842	0.057431558136098425	0.01597854268305358	0.015307615111090595	0.019741476986841606	0.024909325242077843	0.016396523683756898	0.01360703252425394	0.009266661152643291	0.0071617101074692175	0.008657111418830151	0.005007643767811103	0.008297700297551612	0.003983487366840212	0.005585501678342205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
c1_500_all	HDR20220908-133000_Merged-046	2022-09-08 17:30:00	uvp6_sn000147lp_2022_moose_ge_c1_vig	485.2	231.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6532.132999827497	217.78937381404174	29.864585130239778	17.241676729342764	13.912368466448163	8.771778506123857	2.9929273762290842	1.1600828014490254	0.4786958771778506	0.2113161980334656	0.10781438675176816	0.056063481110919446	0.04743833017077799	0.056063481110919446	0.004312575470070726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5420140857624473	0.05887722777513869	0.0161111543506328	0.015186065809960349	0.020436670922778136	0.025607476221830926	0.018137652055803106	0.014097759087706552	0.011864867554110937	0.010059854042616383	0.009662944112597589	0.011518939920507738	0.02289471547959511	0.037360992609354646	0.0052601947679461695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
c1_500_all	HDR20220908-133000_Merged-046	2022-09-08 18:30:00	uvp6_sn000147lp_2022_moose_ge_c1_vig	485.2	231.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6515.788338795929	214.56356736242884	29.21769880972917	17.064861135069865	13.826116957046748	8.901155770225978	2.9584267724685183	1.242021735380369	0.44850784888735556	0.19837847162325342	0.04743833017077799	0.043125754700707265	0.025875452820424357	0.021562877350353633	0.004312575470070726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5406578616153951	0.05800516254126601	0.015762176278055914	0.015030330767887217	0.02034377509693246	0.026311672063545757	0.018279882807089025	0.01530099422847832	0.010742482164674251	0.009783604785827143	0.004412593792839153	0.008886120046322808	0.008927389102842465	0.015837539378583437	0.008785731432118913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
c1_500_all	HDR20220908-133000_Merged-046	2022-09-08 19:30:00	uvp6_sn000147lp_2022_moose_ge_c1_vig	485.3	231.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6484.457478005866	212.256339485941	29.476453337933414	16.63360358806279	13.804554079696395	8.594962911850958	2.445230291530102	1.1773331033293082	0.40106951871657753	0.17250301880282906	0.09487666034155598	0.017250301880282905	0.017250301880282905	0.0	0.0	0.004312575470070726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5380581337978927	0.05738142604377687	0.015901767507086665	0.014650489201855193	0.020150012707268152	0.025273247163104196	0.014967354894223161	0.014245620307465111	0.009605456014662736	0.00773558784271234	0.008972369712949839	0.003225679629759497	0.006722324020030667	0.0	0.0	0.011878630850251955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
c1_500_all	HDR20220908-133000_Merged-046	2022-09-08 20:30:00	uvp6_sn000147lp_2022_moose_ge_c1_vig	485.3	231.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6453.109366913921	208.1593927893738	28.467310677936865	16.413662239089184	13.53286182508194	9.073658789028809	3.135242366741418	1.4231499051233396	0.4226323960669312	0.1466275659824047	0.06900120752113162	0.038813179230636534	0.008625150940141452	0.004312575470070726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5354569746092588	0.056273856562254095	0.015357361713866728	0.01445677000317886	0.019974085700651276	0.02674979355172117	0.019166664032562054	0.017603190239933217	0.010406386849208867	0.0066762297655137805	0.006829040493675	0.007250095031452382	0.0034278985267866316	0.002733306905753544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
c1_500_all	HDR20220908-133000_Merged-046	2022-09-08 21:30:00	uvp6_sn000147lp_2022_moose_ge_c1_vig	485.3	231.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6446.480938416423	207.7971364498879	28.2559944799034	16.09884422977402	14.304812834224599	9.457478005865102	3.122304640331206	1.449025357943764	0.5347593582887701	0.23287907538381922	0.09487666034155598	0.008625150940141452	0.008625150940141452	0.0	0.0	0.0	0.004312575470070726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5349069702519978	0.056175924102835235	0.01524336221015828	0.014179485659975483	0.021100124931912854	0.027864188953564333	0.0193340961170707	0.01751446711770823	0.013123822206714292	0.011082390359447358	0.009651182772106352	0.001375728689447285	0.003210698323306769	0.0	0.0	0.0	0.028365905740575317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
c1_500_all	HDR20220908-133000_Merged-046	2022-09-08 22:30:00	uvp6_sn000147lp_2022_moose_ge_c1_vig	485.3	231.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6454.230636536139	209.06503363808866	28.20424357426255	16.56891495601173	13.666551664654131	9.215973779541143	3.3465585647748837	1.5309642918751079	0.5261342073486286	0.15525271692254614	0.08625150940141453	0.030188028290495085	0.012937726410212179	0.008625150940141452	0.008625150940141452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5355500137328033	0.056518687710801235	0.015215443964352128	0.01459351296695039	0.020111900435800866	0.027266372720812285	0.0207552744934144	0.018981708105226296	0.012635038746668764	0.006779319238413789	0.008456206117931743	0.005228680102437929	0.00572032050196745	0.0051529138018866225	0.01326047031189104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
c1_500_all	HDR20220908-133000_Merged-046	2022-09-08 23:30:00	uvp6_sn000147lp_2022_moose_ge_c1_vig	485.3	231.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6413.571675004313	207.5297567707435	27.91530101776781	15.805589097809213	13.60186303260307	8.858030015525271	3.372434017595308	1.3757115749525617	0.5476970846989823	0.18544074521304124	0.11643953769190961	0.043125754700707265	0.017250301880282905	0.0	0.0	0.004312575470070726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5321762719759675	0.05610364062088323	0.015059567091934454	0.013921193395073706	0.019984032958647077	0.026126059162893237	0.021034653627338556	0.01697168780579996	0.012840569843373808	0.00874132255371161	0.011155640134532673	0.007570278829316196	0.006400547540640661	0.0	0.0	0.013306611356985543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
