"object_id"	"object_lat"	"object_lon"	"object_date"	"object_time"	"object_link"	"object_depth_min"	"object_depth_max"	"object_annotation_status"	"object_annotation_person_name"	"object_annotation_person_email"	"object_annotation_date"	"object_annotation_time"	"object_annotation_category"	"object_annotation_hierarchy"	"object_esd"	"object_orientation"	"sample_id"	"sample_dataportal_descriptor"	"sample_deployment"	"sample_depth"	"process_id"	"acq_id"	"acq_instrument"
"moose22_c1500_20220908-150136-1-12"	""	""	""	""	""	""	""	"validated"	"Manon Laget"	"manon.laget@univ-littoral.fr"	"20230210"	"082659"	"true"	"not-living>detritus>true"	523.6096036456324	"asc"	"moose22_c1_500"	""	"moose22_c1"	"500"	"__DUMMY_ID__1695371__"	"__DUMMY_ID__442998__"	""
"moose22_c1500_20220908-150150-1-25"	""	""	""	""	""	""	""	"validated"	"Manon Laget"	"manon.laget@univ-littoral.fr"	"20230124"	"102255"	"true"	"not-living>detritus>true"	1207.9964372205645	"asc"	"moose22_c1_500"	""	"moose22_c1"	"500"	"__DUMMY_ID__1695371__"	"__DUMMY_ID__442998__"	""
"moose22_c1500_20220908-150156-1-34"	""	""	""	""	""	""	""	"validated"	"Manon Laget"	"manon.laget@univ-littoral.fr"	"20230124"	"102255"	"true"	"not-living>detritus>true"	1102.1924582046547	"asc"	"moose22_c1_500"	""	"moose22_c1"	"500"	"__DUMMY_ID__1695371__"	"__DUMMY_ID__442998__"	""
"moose22_c1500_20220908-150213-1-46"	""	""	""	""	""	""	""	"validated"	"Manon Laget"	"manon.laget@univ-littoral.fr"	"20230126"	"080410"	"t010"	"temporary>t010"	446.8847407536139	"mix"	"moose22_c1_500"	""	"moose22_c1"	"500"	"__DUMMY_ID__1695371__"	"__DUMMY_ID__442998__"	""
"moose22_c1500_20220908-150511-1-82"	""	""	""	""	""	""	""	"validated"	"Manon Laget"	"manon.laget@univ-littoral.fr"	"20230124"	"102255"	"true"	"not-living>detritus>true"	1107.091828118051	"mix"	"moose22_c1_500"	""	"moose22_c1"	"500"	"__DUMMY_ID__1695371__"	"__DUMMY_ID__442998__"	""
"moose22_c1500_20220908-150613-1-103"	""	""	""	""	""	""	""	"validated"	"Manon Laget"	"manon.laget@univ-littoral.fr"	"20230123"	"211900"	"true"	"not-living>detritus>true"	481.6542636019649	"desc"	"moose22_c1_500"	""	"moose22_c1"	"500"	"__DUMMY_ID__1695371__"	"__DUMMY_ID__442998__"	""
"moose22_c1500_20220908-150727-1-112"	""	""	""	""	""	""	""	"validated"	"Manon Laget"	"manon.laget@univ-littoral.fr"	"20230124"	"075419"	"t010"	"temporary>t010"	717.2332254486676	"asc"	"moose22_c1_500"	""	"moose22_c1"	"500"	"__DUMMY_ID__1695371__"	"__DUMMY_ID__442998__"	""
"moose22_c1500_20220908-150917-1-140"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	442.7411834072009	"asc"	"moose22_c1_500"	""	"moose22_c1"	"500"	"__DUMMY_ID__1695371__"	"__DUMMY_ID__442998__"	""
"moose22_c1500_20220908-151120-2-154"	""	""	""	""	""	""	""	"validated"	"Manon Laget"	"manon.laget@univ-littoral.fr"	"20230124"	"102255"	"t010"	"temporary>t010"	624.8477793177179	"mix"	"moose22_c1_500"	""	"moose22_c1"	"500"	"__DUMMY_ID__1695371__"	"__DUMMY_ID__442998__"	""
"moose22_c1500_20220908-151211-1-178"	""	""	""	""	""	""	""	"validated"	"Manon Laget"	"manon.laget@univ-littoral.fr"	"20230209"	"153925"	"dubious"	"not-living>detritus>dubious"	646.6940826411021	"mix"	"moose22_c1_500"	""	"moose22_c1"	"500"	"__DUMMY_ID__1695371__"	"__DUMMY_ID__442998__"	""
"moose22_c1500_20220908-151347-1-199"	""	""	""	""	""	""	""	"validated"	"Manon Laget"	"manon.laget@univ-littoral.fr"	"20230123"	"211900"	"true"	"not-living>detritus>true"	709.9642274490086	"desc"	"moose22_c1_500"	""	"moose22_c1"	"500"	"__DUMMY_ID__1695371__"	"__DUMMY_ID__442998__"	""
