datetime_fin,datetime_ini,sequence,track_id,track_speed,trap_speed
2022-09-12 15:26:23.000,2022-09-12 15:26:20.500,20220912-150000,moose22_c2200_20220912-152620-2-22,14.698216160756258,-0.39999999999963626
2022-09-12 15:28:35.000,2022-09-12 15:28:33.000,20220912-150000,moose22_c2200_20220912-152833-1-27,-242.5358865876899,0.16666666666651508
2022-09-12 15:28:41.000,2022-09-12 15:28:39.000,20220912-150000,moose22_c2200_20220912-152839-1-35,25.62120652391189,0.6666666666660603
2022-09-12 15:28:47.000,2022-09-12 15:28:43.000,20220912-150000,moose22_c2200_20220912-152843-1-40,-67.20006692106278,-0.08333333333325754
2022-09-12 16:01:23.000,2022-09-12 16:01:08.000,20220912-160000,moose22_c2200_20220912-160108-1-10,20.97506014261064,-0.1555555555554141
2022-09-12 16:01:31.000,2022-09-12 16:01:25.000,20220912-160000,moose22_c2200_20220912-160125-1-29,-25.673796120511607,-0.05555555555597872
2022-09-12 16:08:47.000,2022-09-12 16:08:41.000,20220912-160000,moose22_c2200_20220912-160841-1-41,-316.6308950988142,0.11111111111195744
2022-09-12 16:24:09.000,2022-09-12 16:24:02.000,20220912-160000,moose22_c2200_20220912-162402-1-63,14.87079590032093,-0.142857142858231
2022-09-12 17:01:02.000,2022-09-12 17:00:41.500,20220912-170000,moose22_c2200_20220912-170041-2-1,-130.73451561209248,0.13008130081302846
2022-09-12 17:11:57.000,2022-09-12 17:11:54.000,20220912-170000,moose22_c2200_20220912-171154-1-28,157.97310163940497,-0.33333333333303017
2022-09-12 17:27:13.000,2022-09-12 17:27:10.500,20220912-170000,moose22_c2200_20220912-172710-2-44,8.005958276309952,-0.9333333333324845
2022-09-12 17:27:36.000,2022-09-12 17:27:15.000,20220912-170000,moose22_c2200_20220912-172715-1-48,-0.7020898744249172,0.19047619047615258
2022-09-12 18:09:12.000,2022-09-12 18:09:00.500,20220912-180000,moose22_c2200_20220912-180900-2-27,133.56307935743715,0.23188405797006217
2022-09-12 18:09:22.000,2022-09-12 18:09:17.000,20220912-180000,moose22_c2200_20220912-180917-1-44,130.33777724809514,-0.5999999999994543
2022-09-12 18:15:24.000,2022-09-12 18:15:10.000,20220912-180000,moose22_c2200_20220912-181510-1-65,147.0582130546599,-0.19047619047601724
2022-09-12 18:16:57.000,2022-09-12 18:16:54.000,20220912-180000,moose22_c2200_20220912-181654-1-84,26.303996467802964,0.0
2022-09-12 18:17:11.000,2022-09-12 18:17:00.000,20220912-180000,moose22_c2200_20220912-181700-1-91,11.216364481049139,-0.2121212121210192
2022-09-12 18:17:23.000,2022-09-12 18:17:12.500,20220912-180000,moose22_c2200_20220912-181712-2-105,13.345208357008149,0.3809523809520345
2022-09-12 18:17:31.000,2022-09-12 18:17:15.000,20220912-180000,moose22_c2200_20220912-181715-1-110,89.60623128800782,0.10416666666657193
